103,true,{{1/1,0/1,-1/1,0/1,-1/1,0/1},{0/1,1/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,-3/1,0/1,-3/1,-1/1}},false
104,false,{},false
105,true,{{1/1,0/1,-1/1,0/1,-1/1,0/1},{0/1,1/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,-3/1,0/1,-3/1,-1/1}},false
106,true,{{1/1,0/1,-1/1,0/1,0/1,0/1},{0/1,1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,-3/1,0/1,0/1,-1/1}},false
107,true,{{1/1,0/1,-1/1,0/1,0/1,0/1},{0/1,1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,1/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,-3/1,0/1,0/1,-1/1}},false
108,false,{},false
109,true,{{1/1,0/1,-1/1,0/1,0/1,0/1},{0/1,1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,-3/1,0/1,1/1,-1/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,-3/1,0/1,0/1,-1/1}},false
110,true,{{1/1,0/1,-1/1,0/1,0/1,0/1},{0/1,1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,0/1,1/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,-3/1,-1/1,0/1,-1/1}},false
111,true,{{1/1,0/1,-1/1,0/1,0/1,0/1},{0/1,1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,1/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,-3/1,0/1,0/1,-1/1}},false
112,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
113,false,{},false
114,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
115,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
116,false,{},false
117,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
118,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
119,false,{},false
120,false,{},false
