131,false,{},false
132,false,{},false
133,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,-2/1,0/1,-1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1}},false
134,true,{{1/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,1/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,-2/1,-1/1}},false
135,false,{},false
136,false,{},false
137,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,-1/1,-1/1},{0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
138,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1}},false
139,false,{},false
140,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1}},false
141,true,{{1/1,-1/1,-1/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,-1/1,-1/1,0/1},{0/1,-2/1,-2/1,-2/1,-1/1}},false
142,false,{},false
143,true,{{1/1,-1/1,-1/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,-1/1,-1/1,0/1},{0/1,-2/1,-2/1,-2/1,-1/1}},false
144,false,{},false
145,false,{},false
146,true,{{1/1,-1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,-1/1,0/1,0/1},{0/1,-2/1,-2/1,0/1,-1/1}},false
147,true,{{1/1,-1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1},{0/1,-1/1,-1/1,0/1,0/1},{0/1,-2/1,-2/1,0/1,-1/1}},false
148,false,{},false
149,true,{{1/1,-1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,-2/1,-2/1,1/1,-1/1},{0/1,-1/1,-1/1,0/1,0/1},{0/1,-2/1,-2/1,0/1,-1/1}},false
150,false,{},false
151,false,{},false
152,false,{},false
153,false,{},false
154,false,{},false
155,false,{},false
156,false,{},false
157,true,{{1/1,-1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1},{0/1,-1/1,-1/1,0/1,0/1},{0/1,-2/1,-2/1,0/1,-1/1}},false
158,false,{},false
159,true,{{1/1,-1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,-1/1,0/1,0/1},{0/1,-2/1,-2/1,0/1,-1/1}},false
160,false,{},false
161,true,{{1/1,-1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,-2/1,-2/1,1/1,-1/1},{0/1,-1/1,-1/1,0/1,0/1},{0/1,-2/1,-2/1,0/1,-1/1}},false
162,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,-1/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,-1/1}},false
163,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1}},false
164,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,-2/1,-1/1}},false
165,false,{},false
166,false,{},false
167,false,{},false
168,false,{},false
169,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,1/1,-1/1},{0/1,-1/1,-1/1,0/1,-1/1},{0/1,0/1,-1/1,0/1,-1/1},{0/1,-1/1,0/1,0/1,-1/1}},false
170,false,{},false
171,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,-2/1,1/1,0/1,-1/1},{0/1,-1/1,0/1,1/1,-1/1},{0/1,-2/1,0/1,0/1,-1/1},{0/1,-1/1,0/1,0/1,-1/1}},false
172,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1}},false
173,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1}},false
174,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1}},false
175,false,{},false
176,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,-1/1,0/1,-1/1},{0/1,-2/1,0/1,1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1}},false
177,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,-2/1,0/1,1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1}},false
178,true,{{1/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,1/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,-2/1,-1/1}},false
179,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1}},false
180,false,{},false
181,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1}},false
182,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1}},false
